Entity,Code,Year,CO₂ emissions per capita
China,CHN,1907,0.04840261
China,CHN,1908,0.055020537
China,CHN,1909,0.058310255
China,CHN,1910,0.059680074
China,CHN,1911,0.05827084
China,CHN,1912,0.039898846
China,CHN,1913,0.056213327
China,CHN,1914,0.061269186
China,CHN,1915,0.057669863
China,CHN,1916,0.0676246
China,CHN,1917,0.071104296
China,CHN,1918,0.07631273
China,CHN,1919,0.08266413
China,CHN,1920,0.08693245
China,CHN,1921,0.083120845
China,CHN,1922,0.08528475
China,CHN,1923,0.09890104
China,CHN,1924,0.103484906
China,CHN,1925,0.09701566
China,CHN,1926,0.09184579
China,CHN,1927,0.09602494
China,CHN,1928,0.09940985
China,CHN,1929,0.10044768
China,CHN,1930,0.102641396
China,CHN,1931,0.10696789
China,CHN,1932,0.10303524
China,CHN,1933,0.110256605
China,CHN,1934,0.12636147
China,CHN,1935,0.1462837
China,CHN,1936,0.15108936
China,CHN,1937,0.141227
China,CHN,1938,0.12139731
China,CHN,1939,0.14638789
China,CHN,1940,0.17756674
China,CHN,1941,0.22169025
China,CHN,1942,0.24687532
China,CHN,1943,0.20974888
China,CHN,1944,0.19717897
China,CHN,1945,0.1064322
China,CHN,1946,0.06839545
China,CHN,1947,0.078831576
China,CHN,1948,0.07197712
China,CHN,1949,0.11541034
China,CHN,1950,0.14490603
China,CHN,1951,0.18440396
China,CHN,1952,0.22650127
China,CHN,1953,0.23164201
China,CHN,1954,0.2726271
China,CHN,1955,0.3156697
China,CHN,1956,0.35005215
China,CHN,1957,0.40578437
China,CHN,1958,0.8143566
China,CHN,1959,1.1033454
China,CHN,1960,1.2199273
China,CHN,1961,0.87018025
China,CHN,1962,0.69108945
China,CHN,1963,0.6672778
China,CHN,1964,0.65358335
China,CHN,1965,0.6915715
China,CHN,1966,0.74011993
China,CHN,1967,0.6047536
China,CHN,1968,0.63445187
China,CHN,1969,0.75759107
China,CHN,1970,0.9813614
China,CHN,1971,1.0771737
China,CHN,1972,1.1215245
China,CHN,1973,1.1424145
China,CHN,1974,1.1419026
China,CHN,1975,1.2914877
China,CHN,1976,1.3181169
China,CHN,1977,1.420932
China,CHN,1978,1.5609471
China,CHN,1979,1.5737503
China,CHN,1980,1.5198873
China,CHN,1981,1.479652
China,CHN,1982,1.5847058
China,CHN,1983,1.6459085
China,CHN,1984,1.7667418
China,CHN,1985,1.8844863
China,CHN,1986,1.9526218
China,CHN,1987,2.0585601
China,CHN,1988,2.1739132
China,CHN,1989,2.1712253
China,CHN,1990,2.1528878
China,CHN,1991,2.2370765
China,CHN,1992,2.3057148
China,CHN,1993,2.4340296
China,CHN,1994,2.559043
China,CHN,1995,2.7465813
China,CHN,1996,2.8427844
China,CHN,1997,2.8299394
China,CHN,1998,2.6824508
China,CHN,1999,2.817025
China,CHN,2000,2.8700879
China,CHN,2001,2.912365
China,CHN,2002,3.184619
China,CHN,2003,3.7351773
China,CHN,2004,4.001966
China,CHN,2005,4.4899764
China,CHN,2006,4.921031
China,CHN,2007,5.2606664
China,CHN,2008,5.6172485
China,CHN,2009,5.8706574
China,CHN,2010,6.370445
China,CHN,2011,6.998823
China,CHN,2012,7.131918
China,CHN,2013,7.2097993
China,CHN,2014,7.187588
China,CHN,2015,7.0609546
China,CHN,2016,6.9428844
China,CHN,2017,7.080384
China,CHN,2018,7.2915606
China,CHN,2019,7.5260706
China,CHN,2020,7.64075
China,CHN,2021,7.910899
China,CHN,2022,8.217776
China,CHN,2023,8.556261
China,CHN,2024,8.65839
India,IND,1858,0.0016306057
India,IND,1859,0.002622483
India,IND,1860,0.002641329
India,IND,1861,0.002035734
India,IND,1862,0.0022456788
India,IND,1863,0.0024812266
India,IND,1864,0.0023388793
India,IND,1865,0.0022912056
India,IND,1866,0.002577713
India,IND,1878,0.0069540306
India,IND,1879,0.006611514
India,IND,1880,0.0073761567
India,IND,1881,0.007152133
India,IND,1882,0.008482991
India,IND,1883,0.009352291
India,IND,1884,0.010376249
India,IND,1885,0.009272857
India,IND,1886,0.01036802
India,IND,1887,0.011375645
India,IND,1888,0.01254896
India,IND,1889,0.014703709
India,IND,1890,0.016115412
India,IND,1891,0.017284516
India,IND,1892,0.018952666
India,IND,1893,0.019993288
India,IND,1894,0.020229945
India,IND,1895,0.025301605
India,IND,1896,0.02732521
India,IND,1897,0.029601408
India,IND,1898,0.032682236
India,IND,1899,0.035929054
India,IND,1900,0.042496547
India,IND,1901,0.04676327
India,IND,1902,0.05125429
India,IND,1903,0.05197061
India,IND,1904,0.05781677
India,IND,1905,0.058772717
India,IND,1906,0.06747881
India,IND,1907,0.07472625
India,IND,1908,0.08500477
India,IND,1909,0.08200578
India,IND,1910,0.07948293
India,IND,1911,0.08363459
India,IND,1912,0.09608021
India,IND,1913,0.10591431
India,IND,1914,0.10660476
India,IND,1915,0.11136742
India,IND,1916,0.11253696
India,IND,1917,0.117483534
India,IND,1918,0.13188972
India,IND,1919,0.14359471
India,IND,1920,0.115977466
India,IND,1921,0.1239727
India,IND,1922,0.12101775
India,IND,1923,0.12333176
India,IND,1924,0.13069753
India,IND,1925,0.12771833
India,IND,1926,0.12604858
India,IND,1927,0.13091141
India,IND,1928,0.124054424
India,IND,1929,0.12776801
India,IND,1930,0.12841757
India,IND,1931,0.116237566
India,IND,1932,0.106686965
India,IND,1933,0.10327977
India,IND,1934,0.11374695
India,IND,1935,0.11721672
India,IND,1936,0.11361255
India,IND,1937,0.12410688
India,IND,1938,0.13681275
India,IND,1939,0.1326354
India,IND,1940,0.1399502
India,IND,1941,0.14319538
India,IND,1942,0.14350855
India,IND,1943,0.1259863
India,IND,1944,0.129791
India,IND,1945,0.14495872
India,IND,1946,0.14425123
India,IND,1947,0.14798945
India,IND,1948,0.14916411
India,IND,1949,0.15787567
India,IND,1950,0.17599274
India,IND,1951,0.18030834
India,IND,1952,0.18583614
India,IND,1953,0.18537368
India,IND,1954,0.19094001
India,IND,1955,0.20297568
India,IND,1956,0.20559466
India,IND,1957,0.22551806
India,IND,1958,0.23041473
India,IND,1959,0.23823537
India,IND,1960,0.25532722
India,IND,1961,0.26961234
India,IND,1962,0.2899293
India,IND,1963,0.30426666
India,IND,1964,0.29105714
India,IND,1965,0.31357706
India,IND,1966,0.31827164
India,IND,1967,0.31187475
India,IND,1968,0.33301112
India,IND,1969,0.33230522
India,IND,1970,0.33291033
India,IND,1971,0.34396365
India,IND,1972,0.35590428
India,IND,1973,0.35836908
India,IND,1974,0.3615395
India,IND,1975,0.38312787
India,IND,1976,0.39106047
India,IND,1977,0.40412238
India,IND,1978,0.40130946
India,IND,1979,0.41165555
India,IND,1980,0.424402
India,IND,1981,0.44759268
India,IND,1982,0.45172426
India,IND,1983,0.47764838
India,IND,1984,0.4789781
India,IND,1985,0.51459557
India,IND,1986,0.5391722
India,IND,1987,0.562909
India,IND,1988,0.59431225
India,IND,1989,0.63905036
India,IND,1990,0.668214
India,IND,1991,0.69619745
India,IND,1992,0.72586346
India,IND,1993,0.7344633
India,IND,1994,0.7586807
India,IND,1995,0.7919185
India,IND,1996,0.8406862
India,IND,1997,0.8587196
India,IND,1998,0.8597363
India,IND,1999,0.92580426
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
South Korea,KOR,1905,0.00007904359
South Korea,KOR,1909,0.00084252574
South Korea,KOR,1910,0.0010505881
South Korea,KOR,1911,0.0012330522
South Korea,KOR,1912,0.0015220849
South Korea,KOR,1913,0.0017427804
South Korea,KOR,1914,0.002454863
South Korea,KOR,1915,0.0030178302
South Korea,KOR,1916,0.0024709727
South Korea,KOR,1918,0.0023613453
South Korea,KOR,1919,0.0027516454
South Korea,KOR,1920,0.0035155378
South Korea,KOR,1921,0.0037243112
South Korea,KOR,1922,0.0037459387
South Korea,KOR,1923,0.004406232
South Korea,KOR,1924,0.004555411
South Korea,KOR,1925,0.0071488135
South Korea,KOR,1926,0.0075516426
South Korea,KOR,1927,0.007699354
South Korea,KOR,1928,0.008726238
South Korea,KOR,1929,0.009872459
South Korea,KOR,1930,0.009171892
South Korea,KOR,1931,0.009585923
South Korea,KOR,1932,0.011155082
South Korea,KOR,1933,0.012998396
South Korea,KOR,1934,0.017085185
South Korea,KOR,1935,0.019861618
South Korea,KOR,1936,0.023039337
South Korea,KOR,1937,0.024362974
South Korea,KOR,1938,0.03222253
South Korea,KOR,1939,0.041420978
South Korea,KOR,1940,0.052291572
South Korea,KOR,1941,0.057031173
South Korea,KOR,1942,0.061373632
South Korea,KOR,1943,0.05778662
South Korea,KOR,1944,0.059320096
South Korea,KOR,1945,0.00020727544
South Korea,KOR,1946,0.02700406
South Korea,KOR,1947,0.048331134
South Korea,KOR,1948,0.08740277
South Korea,KOR,1949,0.11088773
South Korea,KOR,1950,0.11052537
South Korea,KOR,1951,0.14715604
South Korea,KOR,1952,0.17114936
South Korea,KOR,1953,0.22591253
South Korea,KOR,1954,0.24088418
South Korea,KOR,1955,0.29128623
South Korea,KOR,1956,0.33028087
South Korea,KOR,1957,0.34716937
South Korea,KOR,1958,0.36808914
South Korea,KOR,1959,0.4435636
South Korea,KOR,1960,0.4801812
South Korea,KOR,1961,0.5380675
South Korea,KOR,1962,0.62748337
South Korea,KOR,1963,0.74907666
South Korea,KOR,1964,0.7721402
South Korea,KOR,1965,0.8529578
South Korea,KOR,1966,1.0045666
South Korea,KOR,1967,1.151415
South Korea,KOR,1968,1.1931609
South Korea,KOR,1969,1.3332661
South Korea,KOR,1970,1.6506673
South Korea,KOR,1971,1.7609502
South Korea,KOR,1972,1.7752897
South Korea,KOR,1973,2.107525
South Korea,KOR,1974,2.1409853
South Korea,KOR,1975,2.2763515
South Korea,KOR,1976,2.5592287
South Korea,KOR,1977,2.8623586
South Korea,KOR,1978,3.0341585
South Korea,KOR,1979,3.523497
South Korea,KOR,1980,3.5270195
South Korea,KOR,1981,3.6079779
South Korea,KOR,1982,3.577125
South Korea,KOR,1983,3.728252
South Korea,KOR,1984,3.9583046
South Korea,KOR,1985,4.1011415
South Korea,KOR,1986,4.2258763
South Korea,KOR,1987,4.3797073
South Korea,KOR,1988,4.914697
South Korea,KOR,1989,5.1352463
South Korea,KOR,1990,5.6829114
South Korea,KOR,1991,6.2037244
South Korea,KOR,1992,6.716251
South Korea,KOR,1993,7.3555517
South Korea,KOR,1994,7.8814135
South Korea,KOR,1995,8.456663
South Korea,KOR,1996,9.224541
South Korea,KOR,1997,9.685518
South Korea,KOR,1998,8.17717
South Korea,KOR,1999,8.828288
South Korea,KOR,2000,9.407999
South Korea,KOR,2001,9.685312
South Korea,KOR,2002,10.064984
South Korea,KOR,2003,10.211963
South Korea,KOR,2004,10.302297
South Korea,KOR,2005,10.421549
South Korea,KOR,2006,10.487704
South Korea,KOR,2007,10.828748
South Korea,KOR,2008,11.015084
South Korea,KOR,2009,11.078403
South Korea,KOR,2010,12.18674
South Korea,KOR,2011,12.690266
South Korea,KOR,2012,12.660249
South Korea,KOR,2013,12.673574
South Korea,KOR,2014,12.453072
South Korea,KOR,2015,12.438773
South Korea,KOR,2016,12.435496
South Korea,KOR,2017,12.712852
South Korea,KOR,2018,12.977481
South Korea,KOR,2019,12.480763
South Korea,KOR,2020,11.524331
South Korea,KOR,2021,11.882237
South Korea,KOR,2022,11.719733
South Korea,KOR,2023,11.385368
South Korea,KOR,2024,11.285893
United Kingdom,GBR,1750,1.0019121
United Kingdom,GBR,1760,1.070363
United Kingdom,GBR,1770,1.2627987
United Kingdom,GBR,1780,1.4520383
United Kingdom,GBR,1790,1.7707893
United Kingdom,GBR,1800,2.9153564
United Kingdom,GBR,1801,2.8286498
United Kingdom,GBR,1802,2.7656965
United Kingdom,GBR,1803,2.5437405
United Kingdom,GBR,1804,2.4763212
United Kingdom,GBR,1805,2.5825114
United Kingdom,GBR,1806,2.695625
United Kingdom,GBR,1807,2.811327
United Kingdom,GBR,1808,2.8766963
United Kingdom,GBR,1809,2.915259
United Kingdom,GBR,1810,2.8722124
United Kingdom,GBR,1811,2.8188872
United Kingdom,GBR,1812,2.7279038
United Kingdom,GBR,1813,2.6192143
United Kingdom,GBR,1814,2.5276635
United Kingdom,GBR,1815,2.4391406
